Year,Round,Driver,Expected_Pace_Delta
2022,20,LEC,-124.12200459705491
2022,20,MAG,-196.95952677664536
2022,20,MSC,-91.86878327087743
2022,20,NOR,3.7121029547843136
2022,20,OCO,-19.241348762708185
2022,20,PER,-83.402824632165
2022,20,RIC,-256.3088501131124
2022,20,RUS,-31.017331427295176
2022,20,SAI,-131.23470201014425
2022,20,STR,-146.35759851293187
2022,20,TSU,-131.37325342332497
2022,20,VER,-100.53295613984028
2022,20,VET,-221.45869035376927
2022,20,ZHO,-265.9498600640536
2022,21,ALB,-52.34916203881767
2022,21,ALO,-9.128919823631804
2022,21,BOT,-126.69036990862605
2022,21,GAS,-119.442055455027
2022,21,HAM,-144.2828886034522
2022,21,LAT,-4.259457827589358
2022,21,LEC,-128.6824434194823
2022,21,MAG,-80.26630415747422
2022,21,MSC,-101.33102394675188
2022,21,NOR,-126.77944984532405
2022,21,OCO,-126.63353031252154
2022,21,PER,-72.70452756474242
2022,21,RIC,-292.95223445825286
2022,21,RUS,-123.38468216591173
2022,21,SAI,-68.66242317092201
