Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2023,5,ZHO,alfa,14,16,0,0.0
2023,5,NOR,mclaren,16,17,0,0.0
2023,5,DEV,alphatauri,15,18,0,0.0
2023,5,PIA,mclaren,19,19,1,0.0
2023,5,SAR,williams,20,20,1,0.0
2023,6,VER,red_bull,1,1,0,25.0
2023,6,ALO,aston_martin,2,2,0,18.0
2023,6,OCO,alpine,3,3,0,15.0
2023,6,HAM,mercedes,5,4,0,13.0
2023,6,RUS,mercedes,8,5,0,10.0
2023,6,LEC,ferrari,6,6,0,8.0
2023,6,GAS,alpine,7,7,0,6.0
2023,6,SAI,ferrari,4,8,0,4.0
2023,6,NOR,mclaren,10,9,1,2.0
2023,6,PIA,mclaren,11,10,1,1.0
2023,6,BOT,alfa,15,11,1,0.0
2023,6,DEV,alphatauri,12,12,1,0.0
2023,6,ZHO,alfa,19,13,1,0.0
2023,6,ALB,williams,13,14,1,0.0
2023,6,TSU,alphatauri,9,15,1,0.0
2023,6,PER,red_bull,20,16,1,0.0
2023,6,HUL,haas,18,17,1,0.0
2023,6,SAR,williams,16,18,1,0.0
2023,6,MAG,haas,17,19,1,0.0
2023,6,STR,aston_martin,14,20,1,0.0
2023,7,VER,red_bull,1,1,0,26.0
2023,7,HAM,mercedes,4,2,0,18.0
2023,7,RUS,mercedes,12,3,0,15.0
2023,7,PER,red_bull,11,4,0,12.0
2023,7,SAI,ferrari,2,5,0,10.0
2023,7,STR,aston_martin,5,6,0,8.0
2023,7,ALO,aston_martin,8,7,0,6.0
2023,7,OCO,alpine,6,8,0,4.0
2023,7,ZHO,alfa,13,9,0,2.0
2023,7,GAS,alpine,10,10,0,1.0
2023,7,LEC,ferrari,19,11,0,0.0
2023,7,TSU,alphatauri,15,12,0,0.0
2023,7,PIA,mclaren,9,13,1,0.0
2023,7,DEV,alphatauri,14,14,1,0.0
2023,7,HUL,haas,7,15,1,0.0
2023,7,ALB,williams,18,16,1,0.0
2023,7,NOR,mclaren,3,17,1,0.0
2023,7,MAG,haas,17,18,1,0.0
2023,7,BOT,alfa,16,19,1,0.0
2023,7,SAR,williams,20,20,1,0.0
2023,8,VER,red_bull,1,1,0,25.0
2023,8,ALO,aston_martin,2,2,0,18.0
2023,8,HAM,mercedes,3,3,0,15.0
2023,8,LEC,ferrari,10,4,0,12.0
