Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2022,9,STR,aston_martin,17,10,0,1.0
2022,9,RIC,mclaren,9,11,0,0.0
2022,9,VET,aston_martin,16,12,0,0.0
2022,9,ALB,williams,12,13,0,0.0
2022,9,GAS,alphatauri,15,14,0,0.0
2022,9,NOR,mclaren,14,15,0,0.0
2022,9,LAT,williams,18,16,0,0.0
2022,9,MAG,haas,5,17,0,0.0
2022,9,TSU,alphatauri,20,18,1,0.0
2022,9,MSC,haas,6,19,1,0.0
2022,9,PER,red_bull,13,20,1,0.0
2022,10,SAI,ferrari,1,1,0,25.0
2022,10,PER,red_bull,4,2,0,18.0
2022,10,HAM,mercedes,5,3,0,16.0
2022,10,LEC,ferrari,3,4,0,12.0
2022,10,ALO,alpine,7,5,0,10.0
2022,10,NOR,mclaren,6,6,0,8.0
2022,10,VER,red_bull,2,7,0,6.0
2022,10,MSC,haas,19,8,0,4.0
2022,10,VET,aston_martin,18,9,0,2.0
2022,10,MAG,haas,17,10,0,1.0
2022,10,STR,aston_martin,20,11,0,0.0
2022,10,LAT,williams,10,12,0,0.0
2022,10,RIC,mclaren,14,13,0,0.0
2022,10,TSU,alphatauri,13,14,0,0.0
2022,10,OCO,alpine,15,15,1,0.0
2022,10,GAS,alphatauri,11,16,1,0.0
2022,10,BOT,alfa,12,17,1,0.0
2022,10,RUS,mercedes,8,18,1,0.0
2022,10,ZHO,alfa,9,19,1,0.0
2022,10,ALB,williams,16,20,1,0.0
2022,11,LEC,ferrari,2,1,0,25.0
2022,11,VER,red_bull,1,2,0,19.0
2022,11,HAM,mercedes,8,3,0,15.0
2022,11,RUS,mercedes,4,4,0,12.0
2022,11,OCO,alpine,6,5,0,10.0
2022,11,MSC,haas,9,6,0,8.0
2022,11,NOR,mclaren,10,7,0,6.0
2022,11,MAG,haas,7,8,0,4.0
2022,11,RIC,mclaren,11,9,0,2.0
2022,11,ALO,alpine,19,10,0,1.0
2022,11,BOT,alfa,0,11,0,0.0
2022,11,ALB,williams,15,12,0,0.0
2022,11,STR,aston_martin,12,13,0,0.0
2022,11,ZHO,alfa,13,14,0,0.0
2022,11,GAS,alphatauri,14,15,0,0.0
2022,11,TSU,alphatauri,16,16,0,0.0
2022,11,VET,aston_martin,18,17,0,0.0
2022,11,SAI,ferrari,3,18,1,0.0
2022,11,LAT,williams,17,19,1,0.0
2022,11,PER,red_bull,5,20,1,0.0
2022,12,VER,red_bull,2,1,0,25.0
2022,12,HAM,mercedes,4,2,0,18.0
2022,12,RUS,mercedes,6,3,0,15.0
2022,12,PER,red_bull,3,4,0,12.0
2022,12,SAI,ferrari,19,5,0,11.0
2022,12,ALO,alpine,7,6,0,8.0
2022,12,NOR,mclaren,5,7,0,6.0
2022,12,OCO,alpine,10,8,0,4.0
2022,12,RIC,mclaren,9,9,0,2.0
2022,12,STR,aston_martin,15,10,0,1.0
2022,12,VET,aston_martin,12,11,0,0.0
2022,12,GAS,alphatauri,14,12,0,0.0
2022,12,ALB,williams,13,13,0,0.0
2022,12,BOT,alfa,11,14,0,0.0
2022,12,MSC,haas,17,15,0,0.0
2022,12,ZHO,alfa,16,16,0,0.0
2022,12,LAT,williams,18,17,1,0.0
2022,12,MAG,haas,20,18,1,0.0
2022,12,LEC,ferrari,1,19,1,0.0
2022,12,TSU,alphatauri,8,20,1,0.0
2022,13,VER,red_bull,10,1,0,25.0
2022,13,HAM,mercedes,7,2,0,19.0
2022,13,RUS,mercedes,1,3,0,15.0
2022,13,SAI,ferrari,2,4,0,12.0
2022,13,PER,red_bull,11,5,0,10.0
2022,13,LEC,ferrari,3,6,0,8.0
2022,13,NOR,mclaren,4,7,0,6.0
2022,13,ALO,alpine,6,8,0,4.0
2022,13,OCO,alpine,5,9,0,2.0
2022,13,VET,aston_martin,18,10,0,1.0
2022,13,STR,aston_martin,14,11,0,0.0
2022,13,GAS,alphatauri,0,12,0,0.0
2022,13,ZHO,alfa,12,13,0,0.0
2022,13,MSC,haas,15,14,0,0.0
2022,13,RIC,mclaren,9,15,0,0.0
2022,13,MAG,haas,13,16,0,0.0
2022,13,ALB,williams,17,17,0,0.0
2022,13,LAT,williams,19,18,0,0.0
2022,13,TSU,alphatauri,16,19,0,0.0
2022,13,BOT,alfa,8,20,1,0.0
2022,14,VER,red_bull,14,1,0,26.0
2022,14,PER,red_bull,2,2,0,18.0
2022,14,SAI,ferrari,1,3,0,15.0
2022,14,RUS,mercedes,5,4,0,12.0
2022,14,ALO,alpine,3,5,0,10.0
2022,14,LEC,ferrari,15,6,0,8.0
2022,14,OCO,alpine,16,7,0,6.0
2022,14,VET,aston_martin,10,8,0,4.0
2022,14,GAS,alphatauri,0,9,0,2.0
2022,14,ALB,williams,6,10,0,1.0
2022,14,STR,aston_martin,9,11,0,0.0
2022,14,NOR,mclaren,17,12,0,0.0
2022,14,TSU,alphatauri,0,13,0,0.0
2022,14,ZHO,alfa,18,14,0,0.0
2022,14,RIC,mclaren,7,15,0,0.0
2022,14,MAG,haas,12,16,0,0.0
2022,14,MSC,haas,19,17,0,0.0
2022,14,LAT,williams,11,18,0,0.0
2022,14,BOT,alfa,13,19,1,0.0
2022,14,HAM,mercedes,4,20,1,0.0
2022,15,VER,red_bull,1,1,0,26.0
2022,15,RUS,mercedes,6,2,0,18.0
2022,15,LEC,ferrari,2,3,0,15.0
2022,15,HAM,mercedes,4,4,0,12.0
2022,15,PER,red_bull,5,5,0,10.0
2022,15,ALO,alpine,13,6,0,8.0
2022,15,NOR,mclaren,7,7,0,6.0
2022,15,SAI,ferrari,3,8,0,4.0
2022,15,OCO,alpine,12,9,0,2.0
2022,15,STR,aston_martin,10,10,0,1.0
2022,15,GAS,alphatauri,11,11,0,0.0
2022,15,ALB,williams,15,12,0,0.0
2022,15,MSC,haas,8,13,0,0.0
2022,15,VET,aston_martin,19,14,0,0.0
2022,15,MAG,haas,18,15,0,0.0
2022,15,ZHO,alfa,14,16,0,0.0
2022,15,RIC,mclaren,17,17,0,0.0
2022,15,LAT,williams,20,18,0,0.0
2022,15,BOT,alfa,16,19,1,0.0
2022,15,TSU,alphatauri,9,20,1,0.0
2022,16,VER,red_bull,7,1,0,25.0
2022,16,LEC,ferrari,1,2,0,18.0
2022,16,RUS,mercedes,2,3,0,15.0
2022,16,SAI,ferrari,18,4,0,12.0
2022,16,HAM,mercedes,19,5,0,10.0
2022,16,PER,red_bull,13,6,0,9.0
2022,16,NOR,mclaren,3,7,0,6.0
2022,16,GAS,alphatauri,5,8,0,4.0
2022,16,DEV,williams,8,9,0,2.0
2022,16,ZHO,alfa,9,10,0,1.0
2022,16,OCO,alpine,14,11,0,0.0
2022,16,MSC,haas,17,12,0,0.0
2022,16,BOT,alfa,15,13,0,0.0
2022,16,TSU,alphatauri,20,14,0,0.0
2022,16,LAT,williams,10,15,0,0.0
2022,16,MAG,haas,16,16,0,0.0
2022,16,RIC,mclaren,4,17,1,0.0
2022,16,STR,aston_martin,12,18,1,0.0
2022,16,ALO,alpine,6,19,1,0.0
2022,16,VET,aston_martin,11,20,1,0.0
